Yoshi,137798129037737984,72,291038515876331521
Tempo,156280097106690050,28,291038515876331521
PoDunk,155205067165794304,29,291038515876331521
Brute Baron,218456902982434816,220,291038515876331521
Apples OuO,146461758637211649,47,291038515876331521
Jet2k5,82995621903990784,42,291038515876331521
Ruru,148227692276219904,96,291038515876331521
Hiroki Rinn,222183527918206976,75,291038515876331521
Marcas,169608816814456832,74,291038515876331521
Zycie,145331273236217856,10,291038515876331521
xTasteMe,91337417415483392,93,291038515876331521
xjoint (nao),155885495857971200,83,291038515876331521
Jay,144265806673477632,13,291038515876331521
Steph,93538444864651264,140,291038515876331521
Shisha Addict 09,132252348880781312,138,291038515876331521
epilepsy,140232472595136512,84,291038515876331521
Fallen,162095169305444353,91,291038515876331521
Yukizuna,91059438793822208,42,291038515876331521
Floppy Willy,96717803406491648,47,291038515876331521
DocMerciless,255127884606341120,109,291038515876331521
Bad Player,103925857311014912,25,291038515876331521
Lycoris,105526742155812864,0,291038515876331521
Tenko,167912379001208832,39,291038515876331521
Remilia Scarlet,144697823550504960,132,291038515876331521
Ayu ♥,124157052602941441,54,291038515876331521
Kaisua,154388674178580480,142,291038515876331521
Tohmin,289841481102000138,213,291038515876331521
AALaguna,115255255540695044,160,291038515876331521
Kazu,98671514995404800,6,291038515876331521
Spaz,83653604455485440,52,291038515876331521
Hansenzzz,283415051245846533,3,291038515876331521
Mikey/Zeta,139527776536363009,35,291038515876331521
DunkEm💊,102946839115894784,91,291038515876331521
TroldeSeph,175330691301638144,51,291038515876331521
Cosworth,112340328610021376,53,291038515876331521
Yisuni,162386293089632256,13,291038515876331521
Tilah,140325039080734720,13,291038515876331521
JMats,205129871792275456,21,291038515876331521
Audrye,64863105141714944,21,291038515876331521
Myndi,124421052569878528,21,291038515876331521
M.M Kero,157268739392274432,20,291038515876331521
Dead Ninja,133639531277582336,21,291038515876331521
Thu,112018737854439424,0,291038515876331521Nadeko,116275390695079945,0,291038515876331521
Nadeko,116275390695079945,19421521,291038515876331521
cнε 🌸 ♡,192002662676299776,18,291038515876331521
